filename,x_from,y_from,width,height
images/58494e6d-fc82-4a32-aa33-0c14fa0562d3--ru.6ed014f0-811a-4686-b710-bce52791e777.jpg,188,496,484,277
images/ff8c167e-0909-48a3-9a17-419d75109699--ru.1e9c4d27-04a7-4869-913b-e659f86949c6.jpg,595,307,381,161
images/69502f61-1ca5-4305-b29c-5ff5422c9a61--ru.25d7828e-4022-43ed-82ef-a86f8dd74260.jpg,192,628,630,226
images/c9ffc301-76cc-4713-8c37-ca3c90bb89c5--ru.fb940454-6152-46e7-ac6f-8d1986698b2b.jpg,180,734,466,170
images/0fa79872-6f0b-4eeb-bddc-3a2291a96a4b--ru.c1ba6b5d-e583-4612-8ca5-f97eb88050a6.jpg,250,794,457,305
images/2c7eaef3-a462-40e8-9270-7edaa32f4f67--ru.c67368cf-e479-411a-b457-11f7ae7493cd.jpg,143,412,442,372
images/37a5d5c3-b5a0-457f-954d-1fcff5b977de--ru.b9ca1b28-2ccd-458d-b0de-5cdb7ae977ef.jpg,203,560,436,207
images/83f43e88-df4d-4ce5-a901-1dbbe0e2aba1--ru.b05fe251-b9f2-4edb-8325-adb543059974.jpg,120,389,448,471
images/4e8d7767-2e12-4d9a-ac60-84b94f1458e3--ru.a01ac30d-27e6-425e-b162-14773d6cbc3c.jpg,276,957,390,193
images/76a1b4ac-9b47-4531-bf91-8ba02ad0859c--ru.9c290067-02c7-45ca-a88a-1656672e0337.jpg,64,635,492,280
images/59205bd8-6f43-419b-a88a-6d33e6adfc8f--ru.bc5b8e19-e6f3-4b89-ac12-ecef49232fc8.jpg,230,346,477,290
images/7b14d1b4-6035-44fe-8204-00b557b19791--ru.2f579d2c-cd88-4e33-ae86-1b1883eb7a81.jpg,306,802,387,160
images/4a4af57d-8d1e-4701-81f2-de6334812317--ru.ade76553-7528-4c8b-84c2-dc72717c7490.jpg,261,796,446,247
images/1c92ab0b-ab48-47b3-bdcd-fcd82b52ea19--ru.5a3b4133-a3c9-401b-b913-616495ea7984.jpg,288,912,445,232
images/f155dcc8-153c-4ccb-afda-cc8ba5d4b2dd--ru.c2d60678-c9ab-4b12-8dbe-1e8022ca418c.jpg,354,494,232,162
images/7a5ef483-4556-42be-9a22-db4df0cfda99--ru.c9907faf-afe9-4a35-b971-6b5702b7b9ab.jpg,188,551,682,374
images/e67af742-54ad-4575-9a44-5a579201d818--ru.a8603ad4-6e47-4fc4-a32e-691e5fe2f9b4.jpg,341,589,389,250
images/57d59edc-2c2f-4b5b-a792-9c6ffbfb403d--ru.21d1c62f-5444-4f24-8900-87cb95b2b055.jpg,314,567,582,308
images/37add18b-a51b-4daa-9567-21063b08c53c--ru.73f16523-0c7c-4db7-9f49-1d0d16bcbcc4.jpg,456,701,310,131
images/b3426db2-3799-419b-8745-27bc7b961dee--ru.e7476cad-7bf1-4b89-9c74-7591056c9004.jpg,270,257,464,321
images/e2128466-ecc8-4e42-8d5b-482c2a5ca42c--ru.a7a30e1d-89b8-4a0a-817d-ba7e57b3b311.jpg,182,748,288,132
images/d3335271-b494-4ff5-9dbf-d58ffdfd24cf--ru.93cd1d2e-060e-45e5-833c-47be4963d7ae.jpg,185,289,436,251
images/d80c553f-8eea-4c75-8870-65cf26c71469--ru.d64c655e-5b1d-448a-bbe9-9aa4deea7a15.jpg,360,941,285,145
images/1c37e1fa-b1c8-4fea-9ba4-916c0d1580ba--ru.cb8daef9-6c7e-49df-8f44-33d2f44c1f2c.jpg,255,499,414,181
images/818f55e6-0cf3-4df7-a3bb-b9d063d8e153--ru.101805e9-f3e4-42dc-80e6-3b49c4b9e911.jpg,501,430,393,207
images/346f96cd-fe53-4dcd-b28c-55b58b5392b9--ru.043b8cea-061f-4dd3-9bcb-4113600e320c.jpg,326,730,380,246
images/38fd8888-76a7-4c35-a3e8-a9426555b4de--ru.6137a32c-1bb2-44c1-8dcf-49371c1dad64.jpg,252,765,442,205
images/3a83373a-f943-48c0-b331-a9ed5fae3f2a--ru.e5c6c02d-e507-4714-b0aa-3449c25aed0c.jpg,278,884,368,231
images/96592587-bc94-45bf-8630-e861443af782--ru.4b6e0452-4b9b-41b1-925e-dd6344b6793c.jpg,204,833,568,253
images/f20f263b-3a99-451b-8f60-90a440a23b60--ru.26ef1722-bdc5-44ae-adfa-2a541c805eb2.jpg,330,510,455,168
images/b79b3a1c-3403-4a1a-9e0c-b33d8e2a2866--ru.45a7f970-dbb1-4a77-90cf-2f64e95386ae.jpg,134,444,491,218
images/eb9b68b0-4ea5-42c3-95db-d24d90e5a622--ru.579adf62-88c6-4a7d-9ed9-28dd2e5e3fc5.jpg,581,381,287,146
images/bd9089d0-127b-4b35-a543-ac2035ce8c1d--ru.6e68aeed-508d-468f-b485-fe214919d678.jpg,86,635,441,260
images/3811eb7e-bb36-40ab-b42b-616ede97dbc1--ru.949d75d9-898e-4b5d-a498-622ec0145c83.jpg,168,857,382,290
images/aeaf9f35-5865-463c-8ed0-6c01fcd5d4bc--ru.bfbcca81-b8d3-4686-8927-5ab7f2f8ba77.jpg,368,584,391,142
images/3e36e1ba-414b-4e79-93b7-ad043693b44f--ru.c07726d3-5083-4cc3-a4db-b51ccff817a3.jpg,350,534,315,162
images/91e6b74a-d92c-4e14-a11a-77d184a9e0a7--ru.a89de72e-e13c-4ae0-9160-7753ea2d269a.jpg,187,872,362,139
images/79c0c2ed-3369-412a-8133-ebade5fdf428--ru.5b650ec3-d493-4365-98ab-1740becd3087.jpg,212,642,437,233
images/bb56ecc6-1e4b-4a50-8088-9bf519e0a00b--ru.1c807f15-4cfb-4c51-9173-3b9a2653e28a.jpg,193,520,470,198
images/94bd03b6-3ea4-4b42-a3bc-bcbb6487fa8d--ru.72cbdcbb-7881-43da-b50e-e8fadb1d9e14.jpg,395,314,458,207
images/b02d4381-605c-48a4-b942-044fc7e44c65--ru.f9be9835-9b96-4c46-9473-910a41922bf1.jpg,409,656,226,108
images/cce85bf0-1dab-4e3f-8837-ba09bd25a20d--ru.a1e3dbf1-a83c-47f8-9295-d8a99b084389.jpg,240,537,345,177
images/b5c905af-95d7-4a15-abac-3ec01e01ff51--ru.b5d3fb19-8731-4a17-b326-edadfbabaf22.jpg,155,454,522,283
images/4296efb5-f449-45bd-9d4a-2e63aed1940e--ru.0ddb9259-762e-4658-91b7-275cc1e5859d.jpg,340,672,430,287
images/a751736c-6631-4ece-b5ba-e887799810a5--ru.78fd5a0e-7960-40db-8c82-57d016be84ad.jpg,271,547,386,134
images/056793c5-dd56-4bf2-a2c4-7447290c51ee--ru.77d6ba32-ad28-42a2-ade9-267de19a696f.jpg,307,618,418,141
